gene_id,SRR10720198,SRR10720199,SRR10720203,SRR10720205
gene-ETS1-1,0,0,0,0
gene-ETS1-2,0,0,0,0
gene-ETS2-1,0,0,0,0
gene-ETS2-2,0,0,0,0
gene-HRA1,2,1,1,1
gene-ICR1,553,615,662,564
gene-IRT1,244,242,178,133
gene-ITS1-1,0,0,0,0
gene-ITS1-2,0,0,0,0
gene-ITS2-1,0,0,0,0
gene-ITS2-2,0,0,0,0
gene-LSR1,6015,5356,5913,5653
gene-NME1,108,109,96,100
gene-PWR1,0,0,0,0
gene-Q0020,774,719,486,546
gene-Q0158,6181,5636,4710,4795
gene-Q0285,2,4,1,3
gene-RDN18-1,0,0,0,0
gene-RDN18-2,0,0,0,0
gene-RDN25-1,0,0,0,0
gene-RDN25-2,0,0,0,0
gene-RDN37-1,0,0,0,0
gene-RDN37-2,0,0,0,0
gene-RDN5-1,6,8,10,3
gene-RDN5-2,0,0,0,0
gene-RDN5-3,0,0,0,0
gene-RDN5-4,0,0,0,0
gene-RDN5-5,0,0,0,0
gene-RDN5-6,0,0,0,0
gene-RDN58-1,0,0,0,0
gene-RDN58-2,0,0,0,0
gene-RME2,925,911,1047,830
gene-RME3,28,35,26,31
gene-RNA170,10,11,6,10
gene-RPR1,446,476,539,590
gene-RUF20,94,92,99,83
gene-RUF21,2,1,1,0
gene-RUF22,0,0,0,0
gene-RUF23,7,7,4,8
gene-RUF5-1,0,0,0,0
gene-RUF5-2,0,0,1,0
gene-SCR1,4875,4826,6073,6003
gene-SRG1,3463,3357,4892,4927
gene-TLC1,288,246,197,203
gene-YAL001C,2929,2794,3404,3082
gene-YAL002W,1373,1241,1485,1339
gene-YAL003W,6175,6181,7264,7177
gene-YAL005C,2958,2529,9673,8737
gene-YAL007C,1652,1581,2061,2088
gene-YAL008W,218,237,259,231
gene-YAL009W,231,316,251,227
gene-YAL010C,908,878,1033,890
gene-YAL011W,1582,1654,1375,1232
gene-YAL012W,5021,5068,9833,8451
gene-YAL013W,4819,5017,4499,4421
gene-YAL014C,614,484,550,624
gene-YAL015C,417,400,418,384
gene-YAL016W,1187,1160,1270,1073
gene-YAL017W,2823,2748,3300,2761
gene-YAL018C,0,0,1,1
gene-YAL019W,3448,3387,3360,2754
gene-YAL020C,754,605,685,680
gene-YAL021C,6053,5644,6363,4944
gene-YAL022C,717,673,745,618
gene-YAL023C,3382,3126,3505,2812
gene-YAL024C,1740,1781,2147,1872
gene-YAL025C,7140,6369,5243,5270
gene-YAL026C,1643,1555,1735,1526
gene-YAL027W,237,248,187,227
gene-YAL028W,536,617,461,435
gene-YAL029C,3676,3720,4172,3746
gene-YAL030W,276,215,253,251
gene-YAL031C,1219,1193,1211,1117
gene-YAL032C,1152,1198,942,925
gene-YAL033W,281,266,217,231
gene-YAL034C,1153,1186,1101,793
gene-YAL034W-A,623,586,661,648
gene-YAL035W,12173,13612,12124,10299
gene-YAL036C,2383,2437,2339,2323
gene-YAL037C-A,1,0,0,0
gene-YAL037W,42,46,40,39
gene-YAL038W,32231,35034,38244,32185
gene-YAL039C,847,1052,846,748
gene-YAL040C,3667,3408,4030,3188
gene-YAL041W,3679,3306,4169,3494
gene-YAL042W,2179,1976,1996,1976
gene-YAL043C,2999,2867,3108,2701
gene-YAL044C,1472,1164,1149,1278
gene-YAL044W-A,159,168,153,141
gene-YAL046C,96,104,88,68
gene-YAL047C,349,367,321,337
gene-YAL048C,671,629,604,538
gene-YAL049C,368,405,385,351
gene-YAL051W,1821,1861,2205,1804
gene-YAL053W,1226,1190,1929,1396
gene-YAL054C,116,111,115,85
gene-YAL055W,1010,883,857,935
gene-YAL056W,1495,1482,1703,1407
gene-YAL058W,430,414,398,352
gene-YAL059W,1369,1334,907,845
gene-YAL060W,707,776,699,640
gene-YAL061W,641,657,641,430
gene-YAL062W,113,105,89,72
gene-YAL063C,12,7,18,10
gene-YAL063C-A,3,6,4,2
gene-YAL064C-A,2,4,3,1
gene-YAL064W,3,1,1,1
gene-YAL064W-B,5,21,14,15
gene-YAL065C,1,0,2,0
gene-YAL067C,20,8,29,26
gene-YAL067W-A,0,0,0,0
gene-YAL068C,1,1,1,0
gene-YAR002C-A,377,315,427,381
gene-YAR002W,1756,1802,1824,1570
gene-YAR003W,308,327,347,291
gene-YAR007C,1325,1585,2260,1806
gene-YAR008W,718,778,994,902
gene-YAR009C,172,149,156,185
gene-YAR010C,1,2,0,0
gene-YAR014C,3582,3407,3871,3389
gene-YAR015W,618,518,446,445
gene-YAR018C,750,826,702,694
gene-YAR019C,1197,1435,1272,999
gene-YAR020C,15,23,14,12
gene-YAR023C,66,50,61,43
gene-YAR027W,614,602,480,541
gene-YAR028W,220,210,148,142
gene-YAR029W,53,54,32,26
gene-YAR031W,45,40,30,27
gene-YAR033W,77,86,67,84
gene-YAR035C-A,0,0,0,0
gene-YAR035W,113,100,217,223
gene-YAR042W,4527,4561,5212,4257
gene-YAR050W,75,76,115,86
gene-YAR061W,0,0,0,0
gene-YAR064W,0,0,0,0
gene-YAR066W,0,0,0,0
gene-YAR068W,0,0,3,0
gene-YAR071W,132,117,51,48
gene-YBL001C,316,276,285,316
